tweet_id;tweet_text;label
1,36034E+18;"4,000 a day dying from the so called Covid-19 “vaccine” @DailyBeast reports. #vaccine #PfizerVaccine #Moderna

https://t.co/p1nQWWZpk4";negative
1,3829E+18;Pranam message for today manifested in Dhyan by @meenapranam #truth #love #karm #light #nature #consciousness #FridayThoughts #fridaymorning #CoronavirusIndia #COVID19India #?????_???????? #navratri #Thane #AmbedkarJayanti2021 #ModiJi #NarendraModi #SecondCOVIDWave #Covaxin https://t.co/bQNoMVowJg;neutral
1,37567E+18;"Hyderabad-based ?@BharatBiotech? has sought funds from the government to ramp up production of its indigenously developed Covid-19 vaccine, #Covaxin .
The company has written to the ??@DBTIndia? seeking Rs 100 crore to ramp up. https://t.co/wjWlVIGMC4";neutral
1,38131E+18;"Confirmation that Chinese #vaccines ""don’t have very high protection rates"", according to the director of the China Centers for Disease Control, Gao Fu.

#Sinovac effectiveness ""found to be as low as 50.4% by researchers in Brazil""; &lt;50% is 'not useful'.

https://t.co/S2OoHjd7Do";negative
1,36217E+18;"Lab studies suggest #Pfizer, #Moderna vaccines can protect against #coronavirusvariant
https://t.co/NPaFA68m57";positive
1,35129E+18;"Still want to take the #jab?
#PfizerBioNTech
#sideeffects

13 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab, amid influx of reports detailing adverse effects
https://t.co/RYitPGzuaV";negative
1,37733E+18;"This time, Aerolíneas flight AR1068 goes to Moscow to pick up the #SputnikV vaccines.

There were about 11 flights between Buenos Aires (Argentina) and Moscow (Russia). ??????

Follow flight #AR1068 at RadarBox:
https://t.co/jQD1ajKDfW

#AerolíneasArgentinas #Vaccines #RadarBox https://t.co/A0Evyzf57z https://t.co/YhRBawRXm6";neutral
1,36334E+18;"#Covaxin effective against mutant virus strains: ICMR ??

Thanks to Dr. @Swamy39 jee &amp; Health Minister, Dr. Harsh Vardhan jee for promoting India's first indigenous Covid Vaccine from Bharat Biotech !! ’ ??

https://t.co/6wSwiSaIZt https://t.co/SK7ECsgUOz";positive
1,37258E+18;Safe and effective. #OxfordAstraZeneca;positive
1,36751E+18;The day after the #Moderna #COVID19Vaccine... My arm is a little sore and I am a little more fatigued than usual. My grandparents had no noticeable effects though.;neutral
1,38084E+18;@syd_m39 Not a girl but part of the #Moderna club ?;positive
1,38454E+18;"When we can get #moderna and #pfitzer Vaccine in India?
@narendramodi
@MoHFW_INDIA";neutral
1,38156E+18;"Cameroon receives 200 000 doses of Sinopharm Covid-19 vaccine
https://t.co/pmc6VFJ91I

#Cameroon #Sinopharm #Vaccines #Covid19";neutral
